City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
247,harper,4.375,-7.7169,299.0,91,5,1.26,LR,1707794877
248,ribeira grande,38.5167,-28.7,290.25,89,34,8.94,PT,1707794877
249,haninge,59.1678,18.1448,272.79,96,100,2.68,SE,1707794877
250,gokwe,-18.2048,28.9349,288.5,84,1,2.85,ZW,1707794877
251,sinabang,2.4803,96.3801,302.74,67,4,0.64,ID,1707794605
252,dwarka,22.2394,68.9678,294.83,39,100,4.99,IN,1707794877
253,worthing,50.8145,-0.3713,281.73,80,95,6.27,GB,1707794877
254,linxia chengguanzhen,35.6003,103.2064,279.53,23,12,0.62,CN,1707794596
255,zhezqazghan,47.7833,67.7667,247.47,76,0,4.0,KZ,1707794877
256,sparti,37.0733,22.4297,283.68,89,86,1.94,GR,1707794877
257,lensk,60.7253,114.9278,247.45,87,100,1.96,RU,1707794878
258,san antonio de pale,-1.4014,5.6325,301.44,81,66,2.87,GQ,1707794878
259,klaksvik,62.2266,-6.589,275.66,83,79,2.28,FO,1707794878
260,mascote,-15.5631,-39.3025,296.04,99,33,0.71,BR,1707794878
261,atherton,53.5237,-2.4935,280.05,85,100,5.6,GB,1707794630
262,julio de castilhos,-29.2269,-53.6817,295.34,78,97,7.51,BR,1707794878
263,port moresby,-9.4431,147.1797,303.72,62,100,5.23,PG,1707794790
264,taltal,-25.4,-70.4833,293.58,83,89,1.33,CL,1707794878
265,hamilton,39.1834,-84.5333,279.84,67,0,6.17,US,1707794878
266,lodwar,3.1191,35.5973,302.28,38,68,3.16,KE,1707794878
267,hadibu,12.65,54.0333,297.3,79,13,3.78,YE,1707794879
268,maceio,-9.6658,-35.7353,299.84,94,40,1.54,BR,1707794864
269,mokhsogollokh,61.4681,128.9203,245.64,90,98,3.71,RU,1707794879
270,polyarnyy,69.1989,33.4478,251.4,100,84,4.83,RU,1707794643
271,massawa,15.6097,39.45,297.44,82,32,0.74,ER,1707794879
272,gazli,40.1333,63.45,278.88,55,74,5.02,UZ,1707794879
273,troitsko-pechorsk,62.7084,56.1964,255.97,97,100,2.76,RU,1707794879
274,acarau,-2.8856,-40.12,301.18,81,100,8.27,BR,1707794879
275,kerikeri,-35.2268,173.9474,298.66,61,3,0.45,NZ,1707794879
276,high rock,26.6208,-78.2833,297.16,87,0,6.85,BS,1707794879
277,naama,33.2667,-0.3167,280.78,77,35,2.56,DZ,1707794879
278,carupano,10.6678,-63.2585,297.18,88,81,4.12,VE,1707794879
279,howrah,22.5892,88.3103,295.15,73,40,0.0,IN,1707794590
280,dawei,14.0833,98.2,301.14,40,11,0.85,MM,1707794626
281,nevel'sk,46.6733,141.8633,275.15,86,100,7.02,RU,1707794880
282,juegang,32.3174,121.1855,289.25,59,40,5.84,CN,1707794880
283,petropavlovsk-kamchatsky,53.0452,158.6483,262.48,72,20,3.13,RU,1707794647
284,umm kaddadah,13.6017,26.6876,292.26,12,70,4.64,SD,1707794880
285,vilyuchinsk,52.9306,158.4028,263.3,61,4,1.88,RU,1707794880
286,sokoni,-6.4333,39.55,300.33,83,100,3.86,TZ,1707794880
287,touros,-5.1989,-35.4608,300.34,80,92,5.4,BR,1707794880
288,sabang,5.8933,95.3214,300.93,79,5,11.45,ID,1707794880
289,gazipasa,36.2694,32.3179,292.2,34,75,3.09,TR,1707794880
290,palikir - national government center,6.9248,158.1611,302.62,79,100,7.72,FM,1707794880
291,namibe,-15.1961,12.1522,297.35,82,100,4.59,AO,1707794880
292,nar'yan-mar,67.6713,53.087,240.43,100,16,2.24,RU,1707794880
293,miles city,46.4083,-105.8406,274.69,100,100,3.09,US,1707794881
294,oulad teima,30.3947,-9.209,291.75,37,83,3.3,MA,1707794881
295,port lincoln,-34.7333,135.8667,296.91,51,0,8.06,AU,1707794881
296,saacow,1.6279,42.4407,298.21,78,48,4.58,SO,1707794881
297,pangody,65.85,74.4859,233.56,100,29,1.73,RU,1707794881
298,alness,57.696,-4.2551,277.51,85,8,6.25,GB,1707794881
299,mohr,54.3528,9.7167,278.23,94,28,2.68,DE,1707794881
300,cannonvale,-20.2833,148.7,302.81,68,15,5.51,AU,1707794881
301,krapina,46.1608,15.8789,280.58,93,35,0.99,HR,1707794881
302,nashville,36.1659,-86.7844,278.41,91,20,7.2,US,1707794830
303,crane,31.3974,-102.3501,284.16,30,0,2.84,US,1707794881
304,queenstown,-31.8976,26.8753,291.95,68,0,2.48,ZA,1707794882
305,itamaraca,-7.7478,-34.8256,301.18,83,55,4.32,BR,1707794882
306,mirabad,30.4362,61.8383,285.79,28,0,2.49,AF,1707794882
307,naze,28.3667,129.4833,291.66,57,25,5.16,JP,1707794882
308,pangai,-19.8,-174.35,302.21,84,75,4.12,TO,1707794882
309,nema,57.5067,50.5011,261.12,98,100,1.6,RU,1707794882
310,maintirano,-18.0667,44.0167,298.25,88,100,5.74,MG,1707794882
311,gaiman,-43.2897,-65.4929,286.98,44,5,4.77,AR,1707794882
312,axim,4.8699,-2.2405,300.7,86,13,2.54,GH,1707794623
313,nuuk,64.1835,-51.7216,261.49,72,75,5.14,GL,1707794640
314,puerto san jose,13.9256,-90.8244,298.52,74,2,0.76,GT,1707794883
315,skovorodino,53.9833,123.9167,263.35,70,100,2.79,RU,1707794883
316,lewiston orchards,46.3804,-116.9754,279.19,84,100,2.06,US,1707794883
317,carrigaline,51.8117,-8.3986,279.01,93,75,1.54,IE,1707794883
318,sibolga,1.7427,98.7792,304.23,54,8,1.04,ID,1707794883
319,zaozersk,69.4005,32.4476,250.88,100,73,2.81,RU,1707794884
320,mil'kovo,55.6078,37.7956,269.49,96,100,3.19,RU,1707794884
321,kavaratti,10.5669,72.642,300.95,67,28,3.53,IN,1707794884
322,nerja,36.7585,-3.8873,291.2,72,36,0.89,ES,1707794714
323,freetown,8.484,-13.2299,298.61,82,0,1.88,SL,1707794884
324,remire-montjoly,4.9167,-52.2667,300.17,89,75,3.6,GF,1707794884
325,coruripe,-10.1256,-36.1756,299.32,81,97,3.63,BR,1707794884
326,hotan,37.0997,79.9269,279.37,25,100,3.13,CN,1707794884
327,fort saskatchewan,53.7168,-113.2187,271.91,66,20,3.09,CA,1707794884
328,khairpur nathan shah,27.0936,67.7337,290.6,17,100,0.84,PK,1707794884
329,bhatkal,13.9667,74.5667,299.56,50,11,2.44,IN,1707794885
330,alice springs,-23.7,133.8833,309.38,25,40,3.6,AU,1707794645
331,sikasso,10.9167,-7.0,298.87,11,100,0.93,ML,1707794885
332,mournies,35.4764,24.0092,285.37,76,20,6.17,GR,1707794885
333,khash,28.2211,61.2158,283.3,27,58,3.65,IR,1707794774
334,turpan,42.9333,89.1667,278.04,41,100,1.32,CN,1707794885
335,kiffa,16.6166,-11.4045,298.15,15,0,3.34,MR,1707794885
336,barah,13.7,30.3667,291.88,18,38,2.72,SD,1707794589
337,karak city,31.1637,35.762,284.83,39,100,4.2,JO,1707794885
338,inyati,-19.6756,28.8469,285.76,94,0,2.57,ZW,1707794885
339,razdol'noye,45.7708,33.4878,283.89,61,100,1.52,UA,1707794886
340,nangomba,-10.9,38.5,295.69,93,100,0.64,TZ,1707794886
341,nuku'alofa,-21.1333,-175.2,301.34,89,100,6.69,TO,1707794886
342,pandan,14.0453,124.1694,298.51,85,99,8.42,PH,1707794886
343,priozersk,61.0393,30.1291,261.53,66,77,4.43,RU,1707794886
344,paredon,16.0333,-93.8667,298.03,63,18,10.34,MX,1707794886
345,bad sooden-allendorf,51.2833,9.9833,277.9,85,12,1.34,DE,1707794886
346,kovylkino,54.0388,43.9139,271.12,98,100,2.05,RU,1707794887
347,kharp,66.8014,65.8081,241.4,92,14,1.8,RU,1707794887
348,mossel bay,-34.1831,22.146,291.11,70,19,2.0,ZA,1707794887
349,gizo,-8.103,156.8419,302.07,73,12,6.16,SB,1707794591
350,stratford,41.1845,-73.1332,277.27,66,100,3.6,US,1707794815
351,nikolayevsk-on-amure,53.1406,140.73,260.56,78,100,1.93,RU,1707794887
352,ca mau,9.1769,105.15,304.43,43,32,3.78,VN,1707794887
353,karaton,-6.3424,106.1045,303.18,64,82,1.2,ID,1707794887
354,zhangatas,43.5667,69.75,271.44,92,44,1.55,KZ,1707794887
355,alaghsas,17.0187,8.0168,294.44,10,0,5.16,NE,1707794887
356,turiacu,-1.6633,-45.3717,297.46,93,96,2.17,BR,1707794888
357,cloquet,46.7216,-92.4594,272.81,68,100,2.57,US,1707794888
358,yorkton,51.2167,-102.4677,267.06,93,100,3.09,CA,1707794888
359,nelson bay,-32.7167,152.15,305.18,71,1,12.52,AU,1707794888
360,campbellton,48.0075,-66.6727,267.4,97,39,1.92,CA,1707794888
361,inirida,3.8653,-67.9239,297.79,83,77,0.89,CO,1707794888
